id,title_id,name,character,role
84162,91699,Fred Stuthman,Nathan,ACTOR
92649,91699,Caskey Swaim,Frank,ACTOR
2520341,91699,Earle Towne,Leo Sturges,ACTOR
2520175,91699,Kenneth Augustine,Charles,ACTOR
712705,91699,Rick Blanchard,Andy,ACTOR
2136188,91699,Louis Carello,Stokes,ACTOR
2520080,91699,Robert Kretschmann,Robert,ACTOR
1235770,91699,Alex Tinne,Mexican Bridegroom,ACTOR
634125,91699,Dick Ziker,Artie,ACTOR
515656,91699,Ben Fuhrman,Patrolman #1,ACTOR
494330,91699,Bill Ackridge,Starter,ACTOR
2520307,91699,Gary Bertz,Helicopter Pilot,ACTOR
510548,91699,Susan Bredhoff,Nurse,ACTOR
10502,91699,William H. Burton Jr.,Bar Patron #2,ACTOR
20777,91699,David R. Ellis,Bar Patron #1,ACTOR
58911,91699,James W. Gavin,Helicopter Pilot,ACTOR
1804970,91699,Pat Hustis,Car Driver,ACTOR
631340,91699,Bennie Moore,Adcox,ACTOR
35197,91699,John Cassavetes,VA Doctor (uncredited),ACTOR
1225220,91699,Bob Harks,Doctor (uncredited),ACTOR
22636,91699,Stuart Margolin,Motorist at Garage (uncredited),ACTOR
64291,91699,William Watson,Bartender (uncredited),ACTOR
2520120,91699,James Worth,Patient in Hospital (uncredited),ACTOR
88842,91699,Jeremy Kagan,,DIRECTOR
6050,12775,Clint Eastwood,Dave,ACTOR
63140,12775,Jessica Walter,Evelyn,ACTOR
63142,12775,Donna Mills,Tobie,ACTOR
63141,12775,John Larch,Sgt. McCallum,ACTOR
63143,12775,Jack Ging,Frank,ACTOR
63144,12775,Irene Hervey,Madge,ACTOR
63145,12775,James McEachin,Al Monte,ACTOR
57551,12775,Clarice Taylor,Birdie,ACTOR
56405,12775,Don Siegel,Murphy,ACTOR
63146,12775,Duke Everts,Jay Jay,ACTOR
63147,12775,George Fargo,Man,ACTOR
123921,12775,Mervin W. Frates,Locksmith,ACTOR
123922,12775,Tim Frawley,Deputy Sheriff,ACTOR
123923,12775,Otis Kadani,Policeman,ACTOR
123924,12775,Brit Lind,Anjelica,ACTOR
2046324,12775,Paul E. Lippman,2nd Man,ACTOR
28419,12775,Jack Kosslyn,Cab Driver,ACTOR
2046145,12775,Ginna Patterson,Madalyn,ACTOR
2046470,12775,Malcolm Moran,Man in Window,ACTOR
381721,12775,Cannonball Adderley,Self (uncredited),ACTOR
1259555,12775,Boyd Cabeen,Ambulance Attendant (uncredited),ACTOR
2720554,12775,Barbara Chrysler,Waitress (uncredited),ACTOR
2720588,12775,Don Hamilton,Bar Patron (uncredited),ACTOR
2108146,12775,Robert S. Holman,Policeman (uncredited),ACTOR
2720831,12775,Johnny Otis,Self (uncredited),ACTOR
90493,12775,Walter Scott,Policeman (uncredited),ACTOR
2720539,12775,Walter Spear,Policeman (uncredited),ACTOR
2720569,12775,William Tomlinson,Intern (uncredited),ACTOR
6050,12775,Clint Eastwood,,DIRECTOR
173189,135083,Farid Shawqi,Abu Siri,ACTOR
530033,135083,Hind Rostom,Hanuma,ACTOR
173191,135083,Youssef Chahine,Qinawi,ACTOR
1321002,135083,Hassan el Baroudi,Madbouli,ACTOR
557165,135083,Abdel Aziz Khalil,Abu Gaber,ACTOR
557166,135083,Said Khalil,Jadallah,ACTOR
557170,135083,Farouq ElDemerdash,,ACTOR
538017,135083,Ahmed Abaza,Mansour,ACTOR
557173,135083,Safia Sarwat,Halawethom,ACTOR
557178,135083,Asaad Kellada,,ACTOR
1521416,135083,Sherine,,ACTOR
1521414,135083,Soheir,,ACTOR
1321149,135083,Esmat Mahmoud,,ACTOR
1521441,135083,Nawal Morsi,,ACTOR
1521413,135083,Gharib Moawad,,ACTOR
1521412,135083,Mohamed Mazhar,,ACTOR
1521534,135083,Galal Issa,,ACTOR
1521409,135083,Mahrous El Garhi,,ACTOR
1521506,135083,Ahmed Tantawi,,ACTOR
1521407,135083,S. Abdel Aziz,,ACTOR
225932,135083,Nadia Lotfi,,ACTOR
1320859,135083,Hussein Ismail,Train passenger,ACTOR
793936,135083,Naima Wasfi,,ACTOR
1320893,135083,Abdel Ghani ElNagdi,,ACTOR
631660,135083,Abdel Hamid Badawi,Shawish Hassanein,ACTOR
1851219,135083,Hanaa Abdel Fattah,,ACTOR
1320960,135083,Lotfy ElHakim,,ACTOR
1321080,135083,Sayed ElAraby,,ACTOR
173191,135083,Youssef Chahine,,DIRECTOR
25707,69997,Richard Pryor,Self,ACTOR
191724,69997,Jennifer Lee Pryor,Self (uncredited),ACTOR
65063,69997,Jeff Margolis,,DIRECTOR
518321,16812,Uttam Kumar,BholaB. Singh / Yuvraj Uday B. Singh,ACTOR
522302,16812,Sulakshana Pandit,Rajkumari Radha Sujan Singh,ACTOR
132302,16812,Utpal Dutt,Vikram Singh,ACTOR
497430,16812,Nandita Thakur,Chhoti Rani,ACTOR
105223,16812,Satyendra Kapoor,Maharaj Brajbhan Singh,ACTOR
514297,16812,Indrani Mukherjee,Badi Rani,ACTOR
132303,16812,Prema Narayan,Krishna,ACTOR
105296,16812,Amjad Khan,Kanchan V. Singh,ACTOR
104973,16812,Bindu,Vimla,ACTOR
2503127,16812,Iftekhar,Senapati Raghuvir Singh,ACTOR
